Vendedor,Doc,Fecha,Nombres,CódigoInventario,Unidades,Unitario Venta,Ventas,Costo Unitario,Total Costo,Margen,PorMargen
,FV R 11580,09/01/2020,Cliente General,10044393 TAPON CARCASA,1.00,"6,722.69","6,722.69","4,616.57","4,616.57","2,106.12",0.31
,FV R 11580,09/01/2020,Cliente General,10044773 CABLE CLUTCH,1.00,"19,747.90","19,747.90","16,499.15","16,499.15","3,248.75",0.16
,FV R 11580,09/01/2020,Cliente General,10045339 FILTRO ACEITE,1.00,"10,924.37","10,924.37","8,003.93","8,003.93","2,920.44",0.27
,FV R 11580,09/01/2020,Cliente General,10045339 FILTRO ACEITE,1.00,"10,924.37","10,924.37","8,003.93","8,003.93","2,920.44",0.27
,FV R 11580,09/01/2020,Cliente General,10046198 BAJ CABLE VELOCICMETRO,1.00,"12,857.14","12,857.14","10,548.78","10,548.78","2,308.37",0.18
,FV R 11580,09/01/2020,Cliente General,21000361 MOBIL SUPER ULTRA 4T 20W50 1/4,1.00,"14,500.00","14,500.00","14,428.17","14,428.17",71.83,0.00
,FV R 11580,09/01/2020,Cliente General,21000361 MOBIL SUPER ULTRA 4T 20W50 1/4,4.00,"17,000.00","68,000.00","14,428.17","57,712.67","10,287.33",0.15
,FV R 11580,09/01/2020,Cliente General,21000364 CAJA X  24 PINTA M_SUP ULTRA 20W50,2.00,"7,983.19","15,966.39","7,325.00","14,650.00","1,316.39",0.08
,FV R 11581,10/01/2020,Cliente General,10012579 RESORTE BANDA FRENO,4.00,840.34,"3,361.34",477.08,"1,908.31","1,453.03",0.43
,FV R 11581,10/01/2020,Cliente General,10012919 BANDA FRENO DEL Y TRAS,1.00,"12,184.87","12,184.87","8,585.35","8,585.35","3,599.53",0.30
,FV R 11581,10/01/2020,Cliente General,10012919 BANDA FRENO DEL Y TRAS,1.00,"12,184.87","12,184.87","8,585.35","8,585.35","3,599.53",0.30
,FV R 11581,10/01/2020,Cliente General,10031481 LEVA FRENO TRAS,1.00,"21,596.64","21,596.64","19,307.00","19,307.00","2,289.64",0.11
,FV R 11581,10/01/2020,Cliente General,10040641 SOPORTE CARENAJE,1.00,"10,084.03","10,084.03","6,362.60","6,362.60","3,721.43",0.37
,FV R 11581,10/01/2020,Cliente General,10040642 SOPORTE CARENAJE,1.00,"5,042.02","5,042.02","3,088.30","3,088.30","1,953.72",0.39
,FV R 11581,10/01/2020,Cliente General,10041817 RELAY,1.00,"12,521.01","12,521.01","10,446.00","10,446.00","2,075.01",0.17
,FV R 11581,10/01/2020,Cliente General,10045339 FILTRO ACEITE,1.00,"10,924.37","10,924.37","8,003.93","8,003.93","2,920.44",0.27
,FV R 11581,10/01/2020,Cliente General,10063471 BATERIA MT2.5L-C -GEL-MEGA 12V 2.5A,1.00,"24,285.71","24,285.71","23,524.76","23,524.76",760.96,0.03
,FV R 11581,10/01/2020,Cliente General,21000361 MOBIL SUPER ULTRA 4T 20W50 1/4,4.00,"17,000.00","68,000.00","14,428.17","57,712.67","10,287.33",0.15
,FV R 11581,10/01/2020,Cliente General,21000361 MOBIL SUPER ULTRA 4T 20W50 1/4,5.00,"14,500.00","72,500.00","14,428.17","72,140.83",359.17,0.00
,FV R 11581,10/01/2020,Cliente General,21000364 CAJA X  24 PINTA M_SUP ULTRA 20W50,1.00,"7,983.19","7,983.19","7,325.00","7,325.00",658.19,0.08
,FV R 11581,10/01/2020,Cliente General,7704919374544 KIT ARRASTRE 14_42T_4238H_120_4H,1.00,"22,689.08","22,689.08","20,950.00","20,950.00","1,739.08",0.08
,FV R 11582,11/01/2020,Cliente General,10013001 SWITCH STOP,1.00,"11,764.71","11,764.71","8,345.57","8,345.57","3,419.14",0.29
,FV R 11582,11/01/2020,Cliente General,10014119 KYM SWITCH ENCENDIDO,1.00,"104,201.68","104,201.68",0.00,0.00,"104,201.68",1.00
,FV R 11582,11/01/2020,Cliente General,10022794 KYM BANDA FRENO,1.00,"39,495.80","39,495.80","30,160.00","30,160.00","9,335.80",0.24
,FV R 11582,11/01/2020,Cliente General,10040774 EMPAQUETADURA BOMBA FRENO,1.00,"24,369.75","24,369.75","17,051.00","17,051.00","7,318.75",0.30
,FV R 11582,11/01/2020,Cliente General,10042295 EMPAQUE TAPA VOLANTE,1.00,"3,361.34","3,361.34","2,270.46","2,270.46","1,090.88",0.32
,FV R 11582,11/01/2020,Cliente General,10046988 RODAMIENTO BOLAS,1.00,"8,781.51","8,781.51","7,398.00","7,398.00","1,383.51",0.16
,FV R 11582,11/01/2020,Cliente General,10063486 BATERIA MTX7A-BS-MEGA 12V 6AH,1.00,"61,344.54","61,344.54","48,463.95","48,463.95","12,880.58",0.21
,FV R 11582,11/01/2020,Cliente General,21000361 MOBIL SUPER ULTRA 4T 20W50 1/4,4.00,"17,000.00","68,000.00","14,428.17","57,712.67","10,287.33",0.15
,FV R 11582,11/01/2020,Cliente General,21000364 CAJA X  24 PINTA M_SUP ULTRA 20W50,1.00,"7,983.19","7,983.19","7,325.00","7,325.00",658.19,0.08
,FV R 11583,13/01/2020,Cliente General,10040422 BOMBILLO FAROLA 12V 35/35W,1.00,"7,142.86","7,142.86","5,787.23","5,787.23","1,355.63",0.19
,FV R 11583,13/01/2020,Cliente General,10040651 CABEZA SUSPENSION DEL,1.00,"12,605.04","12,605.04","10,507.00","10,507.00","2,098.04",0.17
,FV R 11583,13/01/2020,Cliente General,10043130 CILINDRO COMPLETO,1.00,"103,781.51","103,781.51","81,663.61","81,663.61","22,117.90",0.21
,FV R 11583,13/01/2020,Cliente General,20002231 MANUBRIO NEGRO,1.00,"32,352.94","32,352.94","23,201.71","23,201.71","9,151.23",0.28
,FV R 11583,13/01/2020,Cliente General,21000361 MOBIL SUPER ULTRA 4T 20W50 1/4,4.00,"17,000.00","68,000.00","14,428.17","57,712.67","10,287.33",0.15
,FV R 11583,13/01/2020,Cliente General,21000361 MOBIL SUPER ULTRA 4T 20W50 1/4,5.00,"14,500.00","72,500.00","14,428.17","72,140.83",359.17,0.00
,FV R 11492,14/01/2020,DISTRIBUIDORA CHALOS S.A.S,10012018 PIÑON DEL.14T,1.00,"8,403.36","8,403.36",0.00,0.00,"8,403.36",1.00
,FV R 11492,14/01/2020,DISTRIBUIDORA CHALOS S.A.S,10012784 RESORTE CRANK,1.00,"2,521.01","2,521.01","1,930.00","1,930.00",591.01,0.23
,FV R 11492,14/01/2020,DISTRIBUIDORA CHALOS S.A.S,10012909 CAUCHO CAMPANA,1.00,"10,924.37","10,924.37","2,675.80","2,675.80","8,248.57",0.76
,FV R 11492,14/01/2020,DISTRIBUIDORA CHALOS S.A.S,10042296 EMPAQUE CARCASA CLUTCH,1.00,"4,621.85","4,621.85","3,433.38","3,433.38","1,188.47",0.26
,FV R 11492,14/01/2020,DISTRIBUIDORA CHALOS S.A.S,10043446 DIRECCIONAL DEL DERECHA,1.00,"12,605.04","12,605.04","8,728.63","8,728.63","3,876.41",0.31
,FV R 11492,14/01/2020,DISTRIBUIDORA CHALOS S.A.S,11021336 CADENA TRACTO 428H X 120L,1.00,"13,025.21","13,025.21","9,178.00","9,178.00","3,847.21",0.30
,FV R 11492,14/01/2020,DISTRIBUIDORA CHALOS S.A.S,2 MANTENIMIENTO Y/O SERV. TECNICO MOTOCICLETAS,1.00,"33,613.45","33,613.45",0.00,0.00,"33,613.45",1.00
,FV R 11492,14/01/2020,DISTRIBUIDORA CHALOS S.A.S,21000361 MOBIL SUPER ULTRA 4T 20W50 1/4,1.00,"17,000.00","17,000.00","14,428.17","14,428.17","2,571.83",0.15
,FV R 11494,31/01/2020,Cliente General,10007524 KYM CABLE ACELERADOR,1.00,"31,092.44","31,092.44",0.00,0.00,"31,092.44",1.00
,FV R 11494,31/01/2020,Cliente General,10012494 ACEITE ATV QUAD RACING 4T,2.00,"20,168.07","40,336.13",0.00,0.00,"40,336.13",1.00
,FV R 11494,31/01/2020,Cliente General,10012541 DISCO SEPARADOR CLUTCH,4.00,"1,915.97","7,663.87","1,445.19","5,780.78","1,883.09",0.25
,FV R 11494,31/01/2020,Cliente General,10012579 RESORTE BANDA FRENO,4.00,840.34,"3,361.34",477.08,"1,908.31","1,453.03",0.43
,FV R 11494,31/01/2020,Cliente General,10012919 BANDA FRENO DEL Y TRAS,1.00,"11,764.71","11,764.71","8,585.35","8,585.35","3,179.36",0.27
,FV R 11494,31/01/2020,Cliente General,10015137 KIT DISCOS CLUTCH,1.00,"24,369.75","24,369.75","16,297.12","16,297.12","8,072.63",0.33
,FV R 11495,31/01/2020,Cliente General,10015280 KIT GUARDACADENA,1.00,"64,285.71","64,285.71","46,268.65","46,268.65","18,017.06",0.28
,FV R 11496,31/01/2020,PABLO EMILIO SILVA BLANDON,10015415 CILINDRO COMPLETO,1.00,"192,857.14","192,857.14","164,253.68","164,253.68","28,603.47",0.15
,FV R 11495,31/01/2020,Cliente General,10016089 CANASTILLA EJE CLUTCH,1.00,"5,882.35","5,882.35","3,674.82","3,674.82","2,207.53",0.38
,FV R 11496,31/01/2020,PABLO EMILIO SILVA BLANDON,10016736 RETEN VALVULA,4.00,"1,785.71","7,142.86","1,687.45","6,749.82",393.04,0.06
,FV R 11494,31/01/2020,Cliente General,10016818 RODAMIENTO BOLAS EJE CLUTCH,1.00,"7,142.86","7,142.86","5,128.37","5,128.37","2,014.48",0.28
,FV R 11495,31/01/2020,Cliente General,10016818 RODAMIENTO BOLAS EJE CLUTCH,1.00,"7,563.03","7,563.03","5,128.37","5,128.37","2,434.65",0.32
,FV R 11494,31/01/2020,Cliente General,10031481 LEVA FRENO TRAS,1.00,"12,605.04","12,605.04","19,307.00","19,307.00","-6,701.96",-0.53
,FV R 11494,31/01/2020,Cliente General,10040537 BAJ BUJIA P_RZ9HC SUPER MICO BOSCH,1.00,"10,756.30","10,756.30","7,448.00","7,448.00","3,308.30",0.31
,FV R 11497,31/01/2020,Cliente General,10040932 RETEN,1.00,0.00,0.00,"2,663.74","2,663.74","-2,663.74",0.00
,FV R 11494,31/01/2020,Cliente General,10042296 EMPAQUE CARCASA CLUTCH,1.00,"4,453.78","4,453.78","3,433.38","3,433.38","1,020.40",0.23
,FV R 11495,31/01/2020,Cliente General,10042352 CABLE CLUTCH,1.00,"16,386.55","16,386.55","11,662.19","11,662.19","4,724.37",0.29
,FV R 11494,31/01/2020,Cliente General,10043425 BAJ CABLE VELOCIMETRO,1.00,"14,285.71","14,285.71","9,973.55","9,973.55","4,312.17",0.30
,FV R 11494,31/01/2020,Cliente General,10044452 FILTRO AIRE,1.00,"6,806.72","6,806.72","4,841.23","4,841.23","1,965.49",0.29
,FV R 11494,31/01/2020,Cliente General,10045137 SOPORTE CARBURADOR,2.00,"3,571.43","7,142.86","2,818.61","5,637.21","1,505.64",0.21
,FV R 11494,31/01/2020,Cliente General,10045244 CAUCHO CAMPANA,1.00,"12,857.14","12,857.14","12,534.72","12,534.72",322.42,0.03
,FV R 11496,31/01/2020,PABLO EMILIO SILVA BLANDON,10045339 FILTRO ACEITE,1.00,"9,642.86","9,642.86","8,003.93","8,003.93","1,638.93",0.17
,FV R 11494,31/01/2020,Cliente General,10045509 BAJ GATO LATERAL,1.00,"13,445.38","13,445.38","11,433.00","11,433.00","2,012.38",0.15
,FV R 11494,31/01/2020,Cliente General,10045528 BAJ PLATINA TENSOR CADENA,2.00,"1,428.57","2,857.14",852.00,"1,704.00","1,153.14",0.40
,FV R 11496,31/01/2020,PABLO EMILIO SILVA BLANDON,10045630 BAJ FILTRO GASOLINA,1.00,"14,642.86","14,642.86","12,387.00","12,387.00","2,255.86",0.15
,FV R 11496,31/01/2020,PABLO EMILIO SILVA BLANDON,10045767 EMPAQUE CULATA,1.00,"29,285.71","29,285.71","25,201.89","25,201.89","4,083.83",0.14
,FV R 11496,31/01/2020,PABLO EMILIO SILVA BLANDON,10045774 EMPAQUE CILINDRO,1.00,"9,285.71","9,285.71","7,869.67","7,869.67","1,416.05",0.15
,FV R 11494,31/01/2020,Cliente General,10046287 SWITCHE ENCENDIDO COMPL,1.00,"50,840.34","50,840.34","44,163.33","44,163.33","6,677.00",0.13
,FV R 11495,31/01/2020,Cliente General,11016751 KYM LLANTA QUEEN 130/70_12 MR_04,1.00,"66,386.55","66,386.55","48,114.50","48,114.50","18,272.05",0.28
,FV R 11494,31/01/2020,Cliente General,21000361 MOBIL SUPER ULTRA 4T 20W50 1/4,1.00,"15,000.00","15,000.00","14,428.17","14,428.17",571.83,0.04
,FV R 11494,31/01/2020,Cliente General,21000361 MOBIL SUPER ULTRA 4T 20W50 1/4,1.00,"15,000.00","15,000.00","14,428.17","14,428.17",571.83,0.04
,FV R 11494,31/01/2020,Cliente General,21000361 MOBIL SUPER ULTRA 4T 20W50 1/4,1.00,"17,000.00","17,000.00","14,428.17","14,428.17","2,571.83",0.15
,FV R 11494,31/01/2020,Cliente General,21000361 MOBIL SUPER ULTRA 4T 20W50 1/4,1.00,"17,000.00","17,000.00","14,428.17","14,428.17","2,571.83",0.15
,FV R 11494,31/01/2020,Cliente General,21000361 MOBIL SUPER ULTRA 4T 20W50 1/4,1.00,"17,000.00","17,000.00","14,428.17","14,428.17","2,571.83",0.15
,FV R 11494,31/01/2020,Cliente General,21000361 MOBIL SUPER ULTRA 4T 20W50 1/4,2.00,"17,000.00","34,000.00","14,428.17","28,856.33","5,143.67",0.15
,FV R 11495,31/01/2020,Cliente General,21000361 MOBIL SUPER ULTRA 4T 20W50 1/4,1.00,"17,000.00","17,000.00","14,428.17","14,428.17","2,571.83",0.15
,FV R 11495,31/01/2020,Cliente General,21000361 MOBIL SUPER ULTRA 4T 20W50 1/4,3.00,"15,000.00","45,000.00","14,428.17","43,284.50","1,715.50",0.04
,FV R 11496,31/01/2020,PABLO EMILIO SILVA BLANDON,21000361 MOBIL SUPER ULTRA 4T 20W50 1/4,3.00,"15,000.00","45,000.00","14,428.17","43,284.50","1,715.50",0.04
,FV R 11494,31/01/2020,Cliente General,7704919374544 KIT ARRASTRE 14_42T_4238H_120_4H,1.00,"29,411.76","29,411.76","20,950.00","20,950.00","8,461.76",0.29
,FV R 11501,04/02/2020,Cliente General,10012579 RESORTE BANDA FRENO,2.00,840.34,"1,680.67",477.08,954.16,726.52,0.43
,FV R 11501,04/02/2020,Cliente General,10012590 BANDA FRENO TRAS CON ASBESTO,1.00,"11,764.71","11,764.71","9,532.33","9,532.33","2,232.38",0.19
,FV R 11501,04/02/2020,Cliente General,10012919 BANDA FRENO DEL Y TRAS,1.00,"11,764.71","11,764.71","8,585.35","8,585.35","3,179.36",0.27
,FV R 11501,04/02/2020,Cliente General,10040980 ANTIVIBRANTE,1.00,"1,680.67","1,680.67","1,211.00","1,211.00",469.67,0.28
,FV R 11501,04/02/2020,Cliente General,10043130 CILINDRO COMPLETO,1.00,"152,941.18","152,941.18","81,663.61","81,663.61","71,277.57",0.47
,FV R 11501,04/02/2020,Cliente General,10043445 DIRECCIONAL DEL IZQUIERDA,1.00,"13,865.55","13,865.55","9,907.94","9,907.94","3,957.61",0.29
,FV R 11501,04/02/2020,Cliente General,21000361 MOBIL SUPER ULTRA 4T 20W50 1/4,1.00,"15,000.00","15,000.00","14,428.17","14,428.17",571.83,0.04
,FV R 11501,04/02/2020,Cliente General,21000361 MOBIL SUPER ULTRA 4T 20W50 1/4,1.00,"17,000.00","17,000.00","14,428.17","14,428.17","2,571.83",0.15
,FV R 11501,04/02/2020,Cliente General,21000361 MOBIL SUPER ULTRA 4T 20W50 1/4,4.00,"15,000.00","60,000.00","14,428.17","57,712.67","2,287.33",0.04
,FV R 11501,04/02/2020,Cliente General,21000364 CAJA X  24 PINTA M_SUP ULTRA 20W50,1.00,"7,983.19","7,983.19","7,325.00","7,325.00",658.19,0.08
